file_name,doc_type,provider,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,cost_usd,duration_ms,cascade_triggered,timestamp
Elastosil-6000-SDS-en.pdf,SDS,google,gemini-2.5-flash,15566,2880,0,0,18446,0.004063,28982,False,1770744567.36093
ELASTOSIL-5000-TDS-en-2024.07.31.pdf,Brochure,google,gemini-2.5-flash,3883,3760,0,0,7643,0.002838,32026,False,1770744599.927338
Elastosil-5000-SDS-en.pdf,SDS,google,gemini-2.5-flash,13907,2830,0,0,16737,0.003784,25436,False,1770744627.417782
ELASTOSIL-5002-TDS-en-2024.07.31.pdf,Brochure,google,gemini-2.5-flash,3699,2762,0,0,6461,0.002212,25257,False,1770744653.217937
Elastosil-5002-SDS-es.pdf,Brochure,google,gemini-2.5-flash,9433,3465,0,0,12898,0.003494,50206,False,1770744704.998325
ELASTOSIL-5100-TDS-en-2025.12.17.pdf,Brochure,google,gemini-2.5-flash,3707,3212,0,0,6919,0.002483,16369,False,1770744721.896857
Elastosil-5100-SDS-en.pdf,SDS,google,gemini-2.5-flash,0,0,0,0,0,0.0,563494,False,1770745287.486212
ELASTOSIL-5605-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,2610,2509,0,0,5119,0.001897,23468,False,1770745311.388393
Elastosil-5605-SDS-en.pdf,SDS,google,gemini-2.5-flash,0,0,0,0,0,0.0,361069,False,1770745673.825053
ELASTOSIL-6000-TDS-en-2024.07.31.pdf,Brochure,google,gemini-2.5-flash,3617,2580,0,0,6197,0.002091,17721,False,1770745692.0954208
Elastosil-6000-SDS-de.pdf,SDS,google,gemini-2.5-flash,15586,4101,0,0,19687,0.004798,41272,False,1770745735.7122822
Elastosil-6000-SDS-en.pdf,SDS,google,gemini-2.5-flash,9178,2536,0,0,11714,0.002898,32566,False,1770745769.836232
ELASTOSIL-6100-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3689,2715,0,0,6404,0.002182,19128,False,1770745789.5101042
Elastosil-6100-SDS-de.pdf,SDS,google,gemini-2.5-flash,18947,3596,0,0,22543,0.005,27873,False,1770745820.30933
Elastosil-6100-SDS-en.pdf,SDS,google,gemini-2.5-flash,9755,2748,0,0,12503,0.003112,32355,False,1770745854.5434911
ELASTOSIL-E4-TDS-en-2026.01.23.pdf,Brochure,google,gemini-2.5-flash,2728,1755,0,0,4483,0.001462,15322,False,1770745870.352784
Elastosil-E4-RPI-en.pdf,SDS,google,gemini-2.5-flash,2738,867,0,0,3605,0.000931,14689,False,1770745885.450036
Elastosil-E4-SDS-en.pdf,SDS,google,gemini-2.5-flash,8822,2531,0,0,11353,0.002842,25412,False,1770745912.459229
Solid and liquid silicone rubber.pdf,Brochure,google,gemini-2.5-flash,86454,3781,0,0,90235,0.015237,41847,False,1770746004.50002
FERMOPURE-L-Cysteine-PHARMA-TDS-en-2025.04.10.pdf,Brochure,google,gemini-2.5-flash,3232,2066,0,995,6293,0.001762,16456,False,1770746021.54999
FERMOPURE® L-CYSTEINE PHARMA L-Cysteine Hydrochloride Monohydrate-SDS-en.pdf,SDS,google,gemini-2.5-flash,10019,3198,0,0,13217,0.003422,22493,False,1770746046.00292
FERMOPURE-Natural-L-Cystine-FOOD-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3049,1831,0,0,4880,0.001556,26897,False,1770746073.4341881
FERMOPURE® NATURAL L-CYSTINE FOOD-SDS-en.pdf,SDS,google,gemini-2.5-flash,9488,2540,0,0,12028,0.002947,26167,False,1770746101.2355661
FERMOPURE-VEGAN-L-CYSTEIN-FOOD-20-Low-Perchlorate-TDS-en-2025.10.15.pdf,SDS,google,gemini-2.5-flash,2924,1709,0,0,4633,0.001464,25562,False,1770746127.29567
FERMOPURE® VEGAN L-CYSTEIN FOOD 20 Low Perchlorate-SDS-de.pdf,SDS,google,gemini-2.5-flash,13810,4178,0,0,17988,0.004578,41142,False,1770746170.69406
FERMOPURE-Vegan-L-Cysteine-FOOD-20-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,2970,1396,0,0,4366,0.001283,16503,False,1770746187.693381
FERMOPURE® VEGAN L-CYSTEINE FOOD 20 L-Cysteine Hydrochl. Monohydr. 20 Mesh-SDS-en.pdf,SDS,google,gemini-2.5-flash,9186,3000,0,0,12186,0.003178,45422,False,1770746234.853933
FERMOPURE-Vegan-L-Cysteine-INFANT-FOOD-TDS-en-2025.11.06.pdf,Brochure,google,gemini-2.5-flash,3608,1968,0,0,5576,0.001722,24091,False,1770746259.474415
FERMOPURE® VEGAN L-CYSTEINE INFANT FOOD L-Cysteine Hydrochloride Monohydrate-SDS-en.pdf,SDS,google,gemini-2.5-flash,10005,3312,0,0,13317,0.003488,33047,False,1770746294.46118
FERMOPURE® – PLANT-BASED L-CYSTINE AND L-CYSTEINE.pdf,Brochure,google,gemini-2.5-flash,5277,3323,0,0,8600,0.002785,47194,False,1770746342.470897
